iter	Passed	Remaining
0	64	128062
1	76	76476
2	88	58777
3	98	49315
4	109	43645
5	118	39415
6	129	36923
7	146	36383
8	156	34651
9	165	33020
10	177	32149
11	189	31350
12	202	30956
13	214	30476
14	230	30454
15	241	30001
16	253	29559
17	266	29342
18	280	29282
19	289	28707
20	299	28240
21	309	27797
22	317	27323
23	325	26782
24	333	26367
25	340	25855
26	351	25700
27	359	25308
28	365	24857
29	369	24258
30	377	23971
31	385	23694
32	395	23562
33	402	23292
34	411	23088
35	418	22839
36	427	22702
37	435	22500
38	442	22268
39	451	22102
40	457	21882
41	466	21736
42	474	21599
43	483	21491
44	493	21429
45	502	21342
46	512	21308
47	519	21113
48	533	21241
49	544	21239
50	554	21192
51	565	21172
52	577	21196
53	589	21232
54	603	21346
55	612	21252
56	620	21150
57	631	21150
58	639	21046
59	647	20948
60	656	20865
61	665	20790
62	672	20687
63	680	20581
64	687	20470
65	695	20376
66	702	20266
67	706	20081
68	713	19978
69	722	19907
70	729	19821
71	738	19764
72	746	19703
73	753	19620
74	760	19506
75	767	19421
76	773	19325
77	782	19273
78	791	19257
79	798	19162
80	806	19103
81	814	19056
82	822	19001
83	827	18883
84	840	18934
85	851	18952
86	862	18968
87	870	18921
88	878	18859
89	887	18839
90	897	18820
91	908	18848
92	921	18905
93	933	18922
94	941	18881
95	945	18752
96	956	18755
97	966	18763
98	974	18721
99	978	18590
100	990	18625
101	1000	18621
102	1013	18658
103	1024	18680
104	1034	18678
105	1042	18629
106	1051	18608
107	1061	18599
108	1069	18558
109	1078	18535
110	1088	18522
111	1096	18479
112	1106	18475
113	1116	18465
114	1126	18470
115	1129	18339
116	1137	18307
117	1144	18260
118	1153	18232
119	1161	18203
120	1170	18173
121	1177	18130
122	1186	18104
123	1194	18074
124	1205	18089
125	1217	18112
126	1226	18095
127	1234	18055
128	1241	18012
129	1249	17970
130	1256	17928
131	1264	17889
132	1271	17847
133	1278	17809
134	1281	17708
135	1289	17674
136	1297	17641
137	1304	17600
138	1313	17581
139	1316	17488
140	1318	17382
141	1325	17340
142	1332	17298
143	1339	17269
144	1349	17264
145	1356	17220
146	1363	17189
147	1372	17173
148	1380	17145
149	1389	17135
150	1397	17109
151	1406	17096
152	1413	17067
153	1421	17041
154	1425	16969
155	1434	16950
156	1441	16926
157	1449	16903
158	1457	16875
159	1465	16850
160	1473	16830
161	1477	16760
162	1485	16746
163	1495	16737
164	1505	16738
165	1513	16717
166	1521	16700
167	1530	16689
168	1538	16668
169	1547	16663
170	1555	16637
171	1564	16623
172	1571	16592
173	1575	16536
174	1582	16503
175	1592	16499
176	1600	16484
177	1610	16485
178	1613	16416
179	1620	16385
180	1627	16360
181	1635	16335
182	1643	16321
183	1652	16313
184	1660	16295
185	1669	16280
186	1678	16271
187	1685	16249
188	1693	16224
189	1700	16200
190	1709	16189
191	1718	16180
192	1727	16169
193	1734	16147
194	1742	16133
195	1750	16111
196	1759	16106
197	1767	16090
198	1776	16081
199	1784	16063
200	1793	16050
201	1803	16052
202	1815	16073
203	1821	16032
204	1832	16046
205	1842	16047
206	1856	16076
207	1867	16089
208	1876	16082
209	1884	16060
210	1892	16048
211	1900	16032
212	1909	16024
213	1918	16010
214	1927	16002
215	1937	15998
216	1945	15982
217	1954	15978
218	1962	15958
219	1972	15962
220	1981	15952
221	1991	15946
222	2000	15942
223	2008	15928
224	2020	15935
225	2029	15932
226	2040	15933
